t	x	y
1.049722E1	-2.120668E2	-3.950853E1
1.053054E1	-1.902299E2	-6.963101E1
1.056387E1	-1.659335E2	-9.713937E1
1.059719E1	-1.286995E2	-1.151515E2
1.063051E1	-8.835605E1	-1.271933E2
1.066384E1	-3.841657E1	-1.313480E2
1.069717E1	4.435065E0	-1.312804E2
1.073049E1	5.132675E1	-1.233061E2
1.076381E1	9.073810E1	-1.114511E2
1.079714E1	1.397024E2	-8.966373E1
1.083047E1	1.625173E2	-6.736799E1
1.086379E1	2.102509E2	-3.534375E1
1.089711E1	2.428462E2	-1.376688E0
1.093043E1	2.637565E2	3.240008E1
1.096376E1	2.705647E2	6.246043E1
1.099709E1	2.875676E2	1.095105E2
1.103041E1	2.729530E2	1.335944E2
1.106373E1	2.666195E2	1.665289E2
1.109706E1	2.597701E2	2.065111E2
1.113039E1	2.266456E2	2.283088E2
1.116371E1	1.971899E2	2.510041E2
1.119703E1	1.588455E2	2.684243E2
1.123036E1	1.186704E2	2.778781E2
1.126368E1	8.575436E1	2.846434E2
1.129701E1	3.516102E1	2.800301E2
1.133033E1	-1.637811E1	2.710095E2
1.136366E1	-5.728620E1	2.544928E2
1.139698E1	-9.568615E1	2.327140E2
1.143030E1	-1.371668E2	2.004983E2
1.146363E1	-1.692922E2	1.685041E2
1.149696E1	-1.977803E2	1.319706E2
1.153028E1	-2.202700E2	9.267738E1
1.156360E1	-2.255484E2	5.651611E1
1.159692E1	-2.266554E2	1.830153E1
1.163026E1	-2.181235E2	-1.577502E1
1.166358E1	-2.067544E2	-5.126350E1
1.169690E1	-1.833840E2	-7.917906E1
1.173022E1	-1.527404E2	-1.014010E2
1.176354E1	-1.069894E2	-1.155424E2
1.179688E1	-7.045687E1	-1.271318E2
1.183020E1	-3.215782E1	-1.335062E2
1.186352E1	1.360268E1	-1.296685E2
1.189684E1	5.738116E1	-1.213686E2
1.193017E1	1.064068E2	-1.052461E2
1.196350E1	1.486321E2	-8.315305E1
1.199682E1	1.842172E2	-5.712928E1
1.203014E1	2.196079E2	-2.549155E1
1.206347E1	2.473099E2	8.764363E0
1.209680E1	2.636610E2	4.274205E1
1.213012E1	2.830992E2	8.458300E1
1.216344E1	2.859124E2	1.188428E2
1.219677E1	2.807486E2	1.535773E2
1.223009E1	2.691380E2	1.848602E2
1.226342E1	2.506491E2	2.133504E2
1.229674E1	2.315986E2	2.426152E2
1.233007E1	1.996710E2	2.626942E2
1.236339E1	1.612685E2	2.764153E2
1.239671E1	1.209405E2	2.847625E2
1.243004E1	7.813689E1	2.868673E2
1.246337E1	3.114081E1	2.809418E2
1.249669E1	-1.474202E1	2.688631E2
1.253001E1	-6.088203E1	2.489422E2
1.256333E1	-1.040652E2	2.227007E2
1.259667E1	-1.379663E2	1.942759E2
1.262999E1	-1.726707E2	1.586019E2
1.266331E1	-1.867269E2	1.287751E2
1.269663E1	-2.081317E2	8.862954E1
1.272996E1	-2.178628E2	4.880234E1
1.276329E1	-2.203887E2	9.537125E0
1.279661E1	-2.108927E2	-2.535032E1
1.282993E1	-1.951534E2	-5.763011E1
1.286326E1	-1.727962E2	-8.545390E1
1.289658E1	-1.398262E2	-1.072310E2
1.292991E1	-1.055213E2	-1.214134E2
1.296323E1	-6.674169E1	-1.310946E2
1.299656E1	-1.813825E1	-1.332899E2
1.302988E1	2.441143E1	-1.291903E2
1.306320E1	6.387317E1	-1.196597E2
1.309653E1	1.154166E2	-9.931448E1
1.312986E1	1.587541E2	-7.561530E1
1.316318E1	1.901612E2	-4.942657E1
1.319650E1	2.202264E2	-1.727943E1
1.322983E1	2.532852E2	2.059763E1
1.326316E1	2.664416E2	5.465131E1
1.329648E1	2.776712E2	9.083878E1
1.332980E1	2.825988E2	1.284346E2
1.336312E1	2.633679E2	1.529044E2
1.339646E1	2.664717E2	1.965568E2
1.342978E1	2.476206E2	2.245112E2
1.346310E1	2.214884E2	2.488358E2
1.349642E1	1.912415E2	2.686972E2
1.352974E1	1.532845E2	2.807799E2
1.356308E1	1.135503E2	2.866207E2
1.359640E1	6.949811E1	2.864683E2
1.362972E1	2.311348E1	2.787498E2
1.366304E1	-3.102524E1	2.612439E2
1.369637E1	-7.392857E1	2.421931E2
1.372970E1	-1.187124E2	2.137299E2
1.376302E1	-1.367426E2	1.905850E2
1.379634E1	-1.760752E2	1.470923E2
1.382967E1	-1.922901E2	1.164798E2
1.386299E1	-2.060068E2	7.878106E1
1.389632E1	-2.148942E2	3.888902E1
1.392964E1	-2.110051E2	2.467945E0
1.396297E1	-2.022499E2	-3.351121E1
1.399629E1	-1.817380E2	-6.149777E1
1.402961E1	-1.609237E2	-9.111335E1
1.406294E1	-1.301486E2	-1.112537E2
1.409627E1	-9.450965E1	-1.253189E2
1.412959E1	-5.208845E1	-1.314692E2
1.416291E1	-1.278084E1	-1.332105E2
1.419623E1	3.192527E1	-1.275710E2
1.422957E1	7.970151E1	-1.135072E2
1.426289E1	1.244062E2	-9.334772E1
1.429621E1	1.507149E2	-7.158364E1
1.432953E1	1.812783E2	-4.180853E1
1.436286E1	2.164590E2	-1.123003E1
1.439619E1	2.425645E2	2.449753E1
1.442951E1	2.661717E2	6.460385E1
1.446283E1	2.628600E2	9.407716E1
1.449616E1	2.740229E2	1.364511E2
1.452948E1	2.566510E2	1.642649E2
1.456281E1	2.596524E2	2.043464E2
1.459613E1	2.399248E2	2.323492E2
1.462946E1	2.115067E2	2.545427E2
1.466278E1	1.801230E2	2.726546E2
1.469611E1	1.454671E2	2.845753E2
1.472943E1	8.753373E1	2.824433E2
1.476276E1	5.426078E1	2.824613E2
1.479608E1	2.786512E0	2.722003E2
1.482940E1	-4.031074E1	2.582490E2
1.486273E1	-8.136202E1	2.346094E2
1.489606E1	-1.162946E2	2.084091E2
1.492938E1	-1.527236E2	1.726536E2
1.496270E1	-1.769062E2	1.404329E2
1.499602E1	-1.899312E2	1.084130E2
1.502936E1	-2.056309E2	6.865378E1
1.506268E1	-2.123638E2	2.826104E1
1.509600E1	-2.101541E2	-9.564679E0
1.512932E1	-1.966839E2	-4.058459E1
1.516264E1	-1.767359E2	-7.127106E1
1.519598E1	-1.525513E2	-9.712685E1
1.522930E1	-1.246978E2	-1.170997E2
1.526262E1	-8.009581E1	-1.277009E2
1.529594E1	-4.433702E1	-1.334608E2
1.532927E1	-3.851152E0	-1.332094E2
1.536260E1	3.359833E1	-1.252708E2
1.539592E1	8.706036E1	-1.092512E2
1.542924E1	1.209335E2	-8.943501E1
1.546257E1	1.656069E2	-6.326722E1
1.549589E1	2.012576E2	-3.131676E1
1.552922E1	2.300244E2	2.572733E0
1.556254E1	2.514275E2	3.857847E1
1.559587E1	2.656575E2	7.456508E1
1.562919E1	2.758950E2	1.143106E2
1.566251E1	2.738492E2	1.481242E2
1.569584E1	2.535921E2	1.725748E2
1.572917E1	2.315278E2	2.054464E2
1.576249E1	2.314379E2	2.403970E2
1.579581E1	2.033502E2	2.608124E2
1.582914E1	1.734960E2	2.787736E2
1.586247E1	1.356382E2	2.874762E2
1.589579E1	9.197619E1	2.873736E2
1.592911E1	4.853363E1	2.845607E2
1.596243E1	1.204762E0	2.725542E2
1.599576E1	-4.865951E1	2.526754E2
1.602909E1	-9.241140E1	2.285356E2
1.606241E1	-1.202919E2	2.005678E2
